排名,排名变化,姓名_中文,姓名_英文,年龄,性别,出生地_中文,出生地_英文,常住地_中文,教育程度,毕业院校,公司名称_中文,公司名称_英文,公司总部_中文,公司总部_英文,所在行业_中文,所在行业_英文,财富值_人民币_亿,财富值_美元_万,财富变化,财富来源,关系,年份
1,4,张一鸣,Zhang Yiming,41,先生,中国-福建-龙岩,China-Fujian-Longyan,中国-北京,本科,南开,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,3500.0,49300.0,43%,,未知,2024
2,-1,钟睒睒,Zhong Shanshan,70,先生,中国-浙江-绍兴,,中国-浙江-杭州,,,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",3400.0,47900.0,-24%,,未知,2024
3,-1,马化腾,Ma Huateng,53,先生,中国-海南,China-Hainan,中国-广东-深圳,本科,深圳大学,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,3150.0,44400.0,13%,,未知,2024
4,-1,黄峥,Huang Zheng,44,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-上海,硕士,浙大、威斯康星大学,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,2450.0,34500.0,-9%,,未知,2024
5,3,何享健,He Xiangjian,82,先生,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,,,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,2350.0,33100.0,18%,,家族,2024
6,-2,曾毓群,Zeng Yuqun,56,先生,中国-福建-宁德,China-Fujian-Ningde,中国-福建-宁德,博士,上交大、中科院,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,2000.0,28200.0,-20%,,未知,2024
6,0,丁磊,Ding Lei,53,先生,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-浙江-杭州,本科,电子科技,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,2000.0,28200.0,-17%,,未知,2024
6,1,李嘉诚,Li Ka-shing,96,先生,中国-香港,China-Hong Kong,中国-香港,,,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,2000.0,28200.0,-5%,,父子,2024
9,2,李兆基,Lee Shau Kee,96,先生,中国-广东-佛山,China-Guangdong-Foshan,中国-香港,,,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,1750.0,24600.0,9%,,家族,2024
10,0,马云,Ma Yun,60,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-浙江-杭州,本科,杭州师范学院,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",1650.0,23200.0,-3%,,家族,2024
11,1,严昊,Yan Hao,38,先生,中国-江苏-淮安,China -Jiangsu - Huai’an,中国-江苏-南京,本科,南京师范大学,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,1450.0,20400.0,-3%,,未知,2024
11,-2,李书福,Li Shufu,61,先生,中国-浙江-台州,China-Zhejiang-Taizhou,中国-浙江-杭州,博士,哈工大、燕山、哈工大,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,1450.0,20400.0,-17%,,家族,2024
11,5,张刚,Zhang Gang,43,先生,中国-山东-聊城,China -Shandong - Liaocheng,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,1450.0,20400.0,7%,,家族,2024
14,0,李蔡美灵,Lee Choi Mei Ling,未知,先生,中国-香港,China-Hong Kong,中国-香港,,,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,1400.0,19700.0,0%,,家族,2024
14,0,吕向阳,Lyu Xiangyang,61,先生,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-广州,,,融捷,Youngy,广东广州,Guangdong,投资,Investments,1400.0,19700.0,0%,,夫妇,2024
16,-3,秦英林,Qin Yinglin,59,先生,中国-河南-南阳,China - Henan - Nanyang,中国-河南-南阳,本科,河南农业大学,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,1350.0,19000.0,-7%,,夫妇,2024
16,81,赵长鹏,Zhao Changpeng,47,先生,中国-江苏-连云港,China-Jiangsu-Lianyungang,阿联酋迪拜,本科,麦吉尔大学,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,1350.0,19000.0,200%,,未知,2024
16,0,王传福,Wang Chuanfu,58,先生,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-深圳,本科,中南,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",1350.0,19000.0,0%,,未知,2024
19,15,雷军,Lei Jun,55,先生,中国-湖北-仙桃,China -Hubei - Fairy Peach,中国-北京,本科,武大,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",1300.0,18300.0,38%,,未知,2024
20,0,陈建华,Chen Jianhua,53,先生,中国-江苏-苏州,China-Jiangsu-Suzhou,中国-江苏-苏州,硕士,南京师范,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",1250.0,17600.0,0%,,夫妇,2024
20,6,张志东,Zhang Zhidong,52,先生,中国-广东-东莞,China-Guangdong-Dongguan,中国-广东-深圳,硕士,深圳、华南理工,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,1250.0,17600.0,14%,,未知,2024
22,-4,刘永行,Liu Yongxing,76,先生,中国-四川-成都,China - Sichuan-Chengdu,中国-上海,博士,西华、恒生国际、美国波士顿,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",1200.0,16900.0,-8%,,父子,2024
23,-3,王卫,Wang Wei,54,先生,中国-上海,China-Shanghai,中国-香港,,,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,1100.0,15500.0,-12%,,未知,2024
23,1,魏建军,Wei Jianjun,60,先生,中国-河北-保定,China-Hebei-Baoding,中国-河北-保定,,,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,1100.0,15500.0,-8%,,夫妇,2024
23,15,郑淑良,Zheng Shuliang,78,先生,中国-山东,China-Shandong,中国-山东-滨州,,,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles",1100.0,15500.0,31%,,家族,2024
26,1,李西廷,Li Xiting,73,先生,中国-安徽-宿州,China-Anhui-Ceju,新加坡,本科,中科大,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals,1000.0,14100.0,0%,,未知,2024
27,-9,郑家纯,Henry Cheng Kar-shun,76,先生,中国-香港,China-Hong Kong,中国-香港,,,周大福,Chow Tai Fook,香港,Hong Kong,珠宝,Jewellery,950.0,13400.0,-27%,,家族,2024
27,4,党彦宝,Dang Yanbao,51,先生,,,中国-宁夏-吴忠,本科,宁夏,宝丰,Baofeng Energy,宁夏银川,Ningxia,煤化工,Coal Chemical,950.0,13400.0,0%,,未知,2024
27,0,徐航,Xu Hang,62,先生,中国-广东-广州,China-Guangdong-guangzhou,中国-广东-深圳,本科,清华,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,Guangdong,医疗器械、房地产,"Health Tech, Real Estate",950.0,13400.0,-5%,,未知,2024
30,36,郭台铭,Terry Guo Tai-Ming,74,先生,中国-台湾-新北,China-Taiwan-New North,中国-台湾-台北,,,鸿海,Hon Hai,台湾台北,Taiwan,电子制造,Manufacturing,930.0,13100.0,55%,,未知,2024
30,-3,吴光正,Peter Woo Kwong-ching,78,先生,中国-上海,China-Shanghai,中国-香港,,,会德丰,Wheelock,香港,Hong Kong,房地产,Estate Holding,930.0,13100.0,-7%,,家族,2024
32,3,刘銮雄,Joseph Lau Luen Hung,73,先生,中国-香港,China-Hong Kong,中国-香港,,,华人置业,Chinese Estates,香港,Hong Kong,房地产,Estate Holding,910.0,12800.0,-1%,,家族,2024
33,-8,黄世霖,Huang Shilin,57,先生,中国-福建-宁德,China-Fujian-Ningde,中国-福建-宁德,本科,合肥工业大学,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,890.0,12500.0,-23%,,未知,2024
34,-14,王兴,Wang Xing,45,先生,中国-福建-龙岩,China-Fujian-Longyan,中国-北京,本科,清华,美团,Meituan,北京,Beijing,生活服务,Life Service,885.0,12500.0,-29%,,未知,2024
35,5,庞康,Pang Kang,68,先生,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,本科,,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,870.0,12300.0,9%,,未知,2024
36,4,孙大卫,David Sun,73,先生,中国-台湾-台北,China-Taiwan-Taipei,美国-洛杉矶,,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,850.0,12000.0,6%,,未知,2024
36,4,杜纪川,John Tu,83,先生,中国-重庆,China-Chongqing,美国-洛杉矶,,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,850.0,12000.0,6%,,未知,2024
38,-2,林立,Lin Li,61,先生,中国-广东-河源,China-Guangdong-Heyuan,中国-广东-深圳,硕士,湖北工,立业,Liye,广东深圳,Guangdong,投资,Investments,810.0,11400.0,-10%,,未知,2024
38,-7,宗馥莉,Zong Fuli,未知,女士,,,中国-浙江-杭州,,,娃哈哈,Wahaha,浙江杭州,Zhejiang,饮料,Drinks,810.0,11400.0,-15%,,未知,2024
40,-20,吕志和,Lui Che Woo,95,先生,中国-香港,China-Hong Kong,中国-香港,,,银河,Galaxy Entertainment,香港,Hong Kong,博彩,Gaming,800.0,11300.0,-36%,,家族,2024
40,-13,严彬,Yan Bin,70,先生,中国-河南-新乡,China -Henan-New Township,中国-北京,,,华彬,Reignwood,北京,Beijing,饮料、地产,Food & Beverages,800.0,11300.0,-20%,,未知,2024
42,69,钟慧娟,Zhong Huijuan,63,女士,,,中国-上海,,,翰森,Hansoh,江苏连云港,Jiangsu,医药,Pharmaceuticals,770.0,10800.0,83%,,未知,2024
43,1,李泽楷,Richard Li Tzar Kai,58,先生,中国-香港,China-Hong Kong,中国-香港,,,电讯盈科,PCCW,香港,Hong Kong,电信,Telecommunications,750.0,10600.0,-3%,,未知,2024
44,11,蔡浩宇,Cai Haoyu,37,先生,中国-山东-济南,China-Shandong-Jinan,中国-上海,,,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,730.0,10300.0,9%,,未知,2024
45,26,张聪渊,Zhang Congyuan,76,先生,中国-台湾-桃园,China-Taiwan-Taoyuan,中国-广东-中山,,,华利实业,Huali Industrial,广东中山,Guangdong,鞋业,Footwear,720.0,10100.0,24%,,家族,2024
46,-15,刘汉元,Liu Hanyuan,60,先生,中国-四川-眉山,China - Sichuan-Meishan,中国-四川-成都,,,通威,Tongwei,四川成都,Sichuan,新能源、农业,"New Energy, Agriculture",700.0,9860.0,-26%,,夫妇,2024
47,12,林百里,Barry Lin Bai-Li,75,先生,中国-上海,China-Shanghai,中国-台湾-桃园,,,广达电脑,Quanta Computer,台湾桃园,Taiwan,消费电子产品,Consumer and Industry Electronics,695.0,9790.0,10%,,家族,2024
48,-11,刘永好,Liu Yonghao,73,先生,中国-四川-成都,China - Sichuan-Chengdu,中国-四川-成都,,,新希望,New Hope,四川成都,Sichuan,农业、化工、金融,"Agriculture, Finance",690.0,9720.0,-20%,,家族,2024
49,37,蔡崇信,Joseph Tsai Chung-Hsin,60,先生,中国-台湾,China-Taiwan,中国-香港,,,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",680.0,9580.0,42%,,未知,2024
50,0,陈东升,Chen Dongsheng,67,先生,中国-湖北-荆门,China -Hubei - Jingmen,中国-北京,博士,武大、武大,泰康,Taikang,北京,Beijing,保险,Insurance,670.0,9440.0,-4%,,家族,2024
50,94,项光达,Xiang Guangda,66,先生,中国-浙江-温州,China-Zhejiang-Wenzhou,中国-浙江-温州,,,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel,670.0,9440.0,97%,,未知,2024
50,9,于泳,Yu Yong,未知,先生,,,中国-上海,,,鸿商产业,Cathay Fortune,上海浦东,Shanghai,钼矿,Molybdenum Minerals,670.0,9440.0,6%,,未知,2024
50,35,张国华,Chang Kuo-Hua,69,先生,中国-台湾-台北,China-Taiwan,中国-台湾-台北,,,长荣集团,Evergreen,台湾台北,Taiwan,物流、钢铁,"Logistics,Iron",670.0,9440.0,38%,,家族,2024
54,-8,邝肖卿,Kwong Siu Hing,95,女士,中国-香港,China-Hong Kong,中国-香港,,,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,665.0,9370.0,-8%,,未知,2024
55,9,孙飘扬,Sun Piaoyang,66,先生,中国-江苏-镇江,China-Jiangsu-Jiang,中国-上海,硕士,中国药科、南大,恒瑞,Hengrui,江苏连云港,Jiangsu,医药,Pharmaceuticals,650.0,9150.0,7%,,未知,2024
56,36,周群飞,Zhou Qunfei,54,女士,中国-湖南-湘潭,China-Hunan-Xiangtan,中国-湖南-长沙,,,蓝思科技,Lens,湖南长沙,Hunan,电子器件制造,Manufacturing,635.0,8940.0,40%,,夫妇,2024
57,19,王来胜,Wang Laisheng,60,先生,中国-广东-汕头,China-Guangdong-Shantou,中国-广东-深圳,,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,630.0,8870.0,17%,,父女,2024
57,9,徐浩宇,Xu Haoyu,52,先生,中国-江苏-泰州,China-Jiangsu-Taizhou,中国-江苏-泰州,,,扬子江药业,Yangtze River Pharmacy,江苏泰州,Jiangsu,医药,Pharmaceuticals,630.0,8870.0,5%,,家族,2024
59,18,王来春,Wang Laichun,57,女士,中国-广东-汕头,China-Guangdong-Shantou,中国-广东-深圳,,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,620.0,8730.0,17%,,未知,2024
59,-1,朱保国,Zhu Baoguo,62,先生,中国-河南-新乡,China - Henan - Xinxiang,中国-广东-深圳,硕士,河南师范、中央党校,健康元,Joint Care,广东深圳,Guangdong,医药,Pharmaceuticals,620.0,8730.0,-3%,,家族,2024
61,-14,龚虹嘉,Gong Hongjia,59,先生,,,中国-香港,本科,华中科技,海康威视,Hikvision,浙江杭州,Zhejiang,视频监控产品,Video Surveillance Products,615.0,8660.0,-13%,,夫妇,2024
62,17,岑均达,Cen Junda,未知,先生,,,中国-江苏-连云港,,,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,Jiangsu,医药,Pharmaceuticals,610.0,8590.0,22%,,未知,2024
63,-16,梁稳根,Liang Wengen,68,先生,中国-湖南-娄底,China-Hunan-Yandi,中国-湖南-长沙,本科,中南,三一,Sany,北京,Beijing,重型机械,Heavy Machinery,600.0,8450.0,-15%,,父子,2024
63,12,王玉锁,Wang Yusuo,60,先生,中国-河北-廊坊,China-Hebei-Langfang,中国-河北-廊坊,硕士,人大、天津财经,新奥,ENN,河北廊坊,Hebei,天然气、能源化工,"Gas, Energy",600.0,8450.0,9%,,夫妇,2024
65,12,陈天桥,Chen Tianqiao,51,先生,中国-浙江-绍兴,China-Zhejiang-Shaoxing,新加坡,本科,复旦,盛大,Shanda,上海浦东,Shanghai,投资,Investments,590.0,8310.0,11%,,夫妇,2024
65,-18,汪俊林,Wang Junlin,62,先生,中国-四川-眉山,China - Sichuan - Meishan,中国-四川-成都,本科,泸州医,郎酒,Langjiu,四川成都,Sichuan,白酒,Liquor,590.0,8310.0,-17%,,未知,2024
67,6,杜双华,Du Shuanghua,59,先生,中国-河北-衡水,China-Hebei-Hengshui,中国-山东-日照,,,日照钢铁,Rizhao Iron and Steel,山东日照,Shandong,钢铁,Steel,575.0,8100.0,1%,,未知,2024
68,3,陈丽华,Chen Lihua,83,女士,中国-北京,China-Beijing,中国-北京,博士,美国佐治亚州萨凡那艺术设计学院荣誉博士,富华,Fu Wah,北京,Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",550.0,7750.0,-5%,,未知,2024
68,-15,李水荣,Li Shuirong,68,先生,中国-浙江,China-Zhejiang,中国-浙江-杭州,,,荣盛控股,RongSheng,浙江杭州,Zhejiang,化纤,Chemical Fibres,550.0,7750.0,-19%,,未知,2024
70,-25,张勇,Zhang Yong,53,先生,中国-四川-成都,China - Sichuan-Chengdu,新加坡,,,海底捞,HaiDiLao,北京,Beijing,餐饮,Restaurants,540.0,7610.0,-28%,,夫妇,2024
71,-32,李彦宏,Li Yanhong,56,先生,中国-山西-阳泉,China -Shanxi - Yangquan,中国-北京,硕士,北大、布法罗纽约州立,百度,Baidu,北京,Beijing,网络信息服务,Internet Information Services,525.0,7390.0,-36%,,夫妇,2024
72,-6,刘强东,Liu Qiangdong,50,先生,中国-江苏-宿迁,China-Jiangsu-Cebu,中国-北京,本科,人大,京东,JD,北京,Beijing,电子商务、金融,"E-Commerce, Financial Services",520.0,7320.0,-13%,,夫妇,2024
72,14,曹仁贤,Cao Renxian,56,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-安徽-合肥,硕士,,阳光电源,Sungrow Power Supply,安徽合肥,Anhui,光伏设备,Electric Equipment and Machinery,520.0,7320.0,8%,,夫妇,2024
74,34,林木勤,Lin Muqin,60,先生,中国-广东-深圳,China-Guangdong-Shenzhen,中国-广东-深圳,,,东鹏饮料,Eastroc Beverage,广东深圳,Guangdong,食品饮料,Food & Beverages,510.0,7180.0,17%,,父子,2024
74,114,朱义,Zhu Yi,61,先生,,,中国-成都,,,百利天恒,Biokin Pharmaceutical,四川成都,Sichuan,医药,Pharmaceuticals,510.0,7180.0,89%,,未知,2024
76,-12,汪立平,Wang Liping,58,先生,中国-江苏-无锡,China-Jiangsu-Wuxi,中国-江苏-常州,,,恒立液压,Hengli Hydraulic,江苏常州,Jiangsu,高压油缸,Oil Cylinder,500.0,7040.0,-18%,,家族,2024
76,3,许仰天,Xu Yangtian,40,先生,山东-淄博,China-Shandong,中国-广东-广州,,青岛科技大学-本科,希音,Shein,广东广州,Guangdong,电商,E-Commerce,500.0,7040.0,0%,,未知,2024
76,13,严昕,Yan Xin,41,女士,中国-江苏-淮安,China-Jiangsu-Huai'an,中国-江苏-淮安,,,苏商,Susun,上海,Shanghai,基础设施建设,Roads,500.0,7040.0,6%,,未知,2024
79,-22,吴亚军,Wu Yajun,60,女士,中国-重庆,China-Chongqing,中国-北京,本科,西北工业,龙湖,Longfor,北京,Beijing,房地产,Real Estate,490.0,6900.0,-26%,,家族,2024
79,-13,罗立国,Luo Liguo,68,先生,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-浙江-宁波,,,合盛,Hoshine,浙江宁波,Zhejiang,硅材料,Silicon,490.0,6900.0,-18%,,家族,2024
79,61,林斌,Lin Bin,56,先生,,,中国-北京,硕士,中山大学、Drexel Universit,小米,Xiaomi,北京,Beijing,智能硬件与技术,IoT,490.0,6900.0,42%,,未知,2024
82,-19,裴振华,Pei Zhenhua,未知,先生,,,中国-江苏-苏州,,,天华超净,Canmax,江苏苏州,Jiangsu,超净产品,Industrial Products,480.0,6760.0,-23%,,夫妇,2024
82,9,许世辉,Xu Shihui,67,先生,中国-福建-泉州,China-Fujian-Quanzhou,中国-福建-泉州,,,达利食品,Dali Foods,福建泉州,Fujian,食品,Food,480.0,6760.0,4%,,家族,2024
84,56,蔡明兴,Richard Tsai Ming-Hsing,67,先生,中国-台湾,China-Taiwan,中国-台湾-台北,,,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,460.0,6480.0,33%,,家族,2024
84,-44,陈邦,Chen Bang,59,先生,中国-湖南-长沙,China-Hunan-Changsha,中国-湖南-长沙,硕士,,爱尔眼科,Aier Ophthalmology,湖南长沙,Hunan,医疗服务,Medical Services,460.0,6480.0,-43%,,未知,2024
86,-2,黄楚龙,Huang Chulong,65,先生,中国-广东-揭阳,China-Guangdong-Jieyang,中国-广东-深圳,,,星河,Galaxy,广东深圳,Guangdong,房地产、投资,"Real Estate, Investments",450.0,6340.0,-8%,,家族,2024
86,-31,李华,Li Hua,58,先生,中国-四川,China - Sichuan,中国-广东-深圳,本科,华南理工,卓越,Excellence,广东深圳,Guangdong,房地产,Real Estate,450.0,6340.0,-33%,,未知,2024
88,67,蔡明忠,Daniel Tsai Ming-Chung,68,先生,中国-台湾,China-Taiwan,中国-台湾-台北,,,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,440.0,6200.0,38%,,家族,2024
88,42,谢青,Ken Xie,未知,先生,中国-北京,China-Beijing,美国-旧金山,硕士,斯坦福大学,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,440.0,6200.0,24%,,未知,2024
90,23,米高·嘉道理,Michael Kadoorie,83,先生,中国-香港,China-Hong Kong,中国-香港,,,中电,CLP,香港,Hong Kong,能源,Energy,435.0,6130.0,6%,,家族,2024
90,2,李天颖,Wendy Lee,未知,先生,中国-香港,China-Hong Kong,中国-香港,,,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,435.0,6130.0,-4%,,家族,2024
92,38,张虔生,Jason Chang CS,80,先生,中国-台湾,China-Taiwan,中国-台湾-高雄,,,日月光,ASE,台湾高雄,Taiwan,工业品、房地产,"Industrial Products, Real Estate",430.0,6060.0,21%,,家族,2024
92,5,陈贤哲,Chen Shyan Tser,71,先生,中国-台湾,,中国-台湾-台北,,,北极星,Polaris,台湾台北,Taiwan,投资,Investments,430.0,6060.0,-4%,,家族,2024
94,8,虞仁荣,Yu Renrong,58,先生,,,中国-上海,本科,清华,韦尔股份,Will,上海浦东,Shanghai,半导体,Semiconductors,425.0,5990.0,-4%,,未知,2024
95,55,蔡宏图,Tsai Hong-Tu,72,先生,中国-台湾,China-Taiwan,中国-台湾-台北,,,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,420.0,5920.0,29%,,家族,2024
95,-9,杨惠妍,Yang Huiyan,43,女士,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,本科,俄亥俄州立,碧桂园,Country Garden,广东佛山,Guangdong,投资、房地产、教育,"Investments, Real Estate, Education",420.0,5920.0,-13%,,家族,2024
97,-38,沈国军,Shen Guojun,62,先生,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-北京,硕士,中南财经,银泰,Yintai,北京,Beijing,零售、房地产、物流,"Retail, Real Estate, Logistics",415.0,5850.0,-34%,,家族,2024
97,26,宋建波,Song Jianbo,54,先生,中国-山东-烟台,China-Shandong,中国-山东-烟台,,,南山,Nanshan,山东烟台,Shandong,铝业、纺织、房地产,"Aluminium, Apparel, Real Estate",415.0,5850.0,11%,,家族,2024
99,6,鲁伟鼎,Lu Weiding,53,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-浙江-杭州,,,万向,Wanxiang,浙江杭州,Zhejiang,汽车制造业、房地产、农业,"Car parts, real estate, agriculture",410.0,5770.0,-7%,,家族,2024
99,-33,其实,Qi Shi,54,先生,中国-上海,China-Shanghai,中国-上海,博士,上交大、复旦,东方财富,Eastmoney,上海徐汇,Shanghai,信息服务,Data Services,410.0,5770.0,-32%,,家族,2024
99,6,阮立平,Ruan Liping,60,先生,,,中国-宁波,,,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,410.0,5770.0,-7%,,未知,2024
99,66,霍斯特·帕德威尔,Horst Julius Pudwill,79,先生,中国-香港,China-Hong Kong,中国-香港,,,创科实业,TTI,香港,Hong Kong,消费品,Consumer Goods,410.0,5770.0,34%,,家族,2024
103,-44,方威,Fang Wei,51,先生,中国-辽宁-沈阳,China-Liaoning-Shenyang,中国-北京,,,方大,Fangda,北京,Beijing,碳素、钢铁、煤焦,"Carbon, Steel, Coal",405.0,5700.0,-36%,,未知,2024
103,2,阮学平,Ruan Xueping,52,先生,,,中国-宁波,,,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,405.0,5700.0,-8%,,未知,2024
103,-11,朱孟依,Zhu Mengyi,65,先生,中国-广东-梅州,China-Guangdong-Meizhou,中国-广东-广州,,,合生创展,Hopson,广东广州,Guangdong,房地产、投资,Real Estate,405.0,5700.0,-11%,,家族,2024
103,-50,蒋仁生,Jiang Rensheng,71,先生,中国-广西-桂林,China-Guangxi-Guilin,中国-重庆,,,智飞生物,Zhifei,重庆,Chongqing,疫苗,Vaccines,405.0,5700.0,-40%,,家族,2024
107,-28,赖海民,Lai Haimin,58,先生,中国-广东-揭阳,China-Guangdong-Jieyang,中国-广东-深圳,,,鸿荣源,Horoy,广东深圳,Guangdong,房地产,Real Estate,400.0,5630.0,-20%,,未知,2024
107,-5,丁世忠,Ding Shizhong,54,先生,中国-福建-泉州,China-Fujian-Quanzhou,中国-福建-厦门,,,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,400.0,5630.0,-10%,,未知,2024
107,19,刘伟,Liu Wei,37,先生,,,中国-上海,,,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,400.0,5630.0,8%,,未知,2024
107,11,苏海文,Helmut Sohmen,83,先生,奥地利,Austria,中国-香港,,,BW,BW Group,香港,Hong Kong,物流,Logistics,400.0,5630.0,4%,,家族,2024
107,2,蔡衍明,Tsai Eng-Meng,67,先生,中国-台湾-台北,China-Taiwan-Taipei,中国-台湾-台北,,,旺旺,Want Want,台湾台北,Taiwan,食品和饮料,Food & Beverages,400.0,5630.0,-7%,,家族,2024
112,201,王旭宁,Wang Xuning,55,先生,中国-北京,China-Beijing,中国-上海,硕士,北交大、中欧,JS环球生活,JS Global Life,香港,Hong Kong,小家电,Household Appliances,395.0,5560.0,126%,,未知,2024
113,46,谢华,Michael Xie,未知,先生,中国-北京,China-Beijing,美国-旧金山,硕士,曼尼托巴大学,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,390.0,5490.0,24%,,未知,2024
114,-35,李平,Li Ping,56,先生,,,中国-福建-宁德,本科,复旦,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,385.0,5420.0,-23%,,未知,2024
114,53,蔡政达,Tsai Cheng-Ta,未知,先生,中国-台湾,China-Taiwan,中国-台湾-台北,,,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,385.0,5420.0,28%,,家族,2024
116,68,曾芳勤,Zeng Fangqin,59,女士,,,中国-广东-深圳,,,领益智造,Lingyi Itech,广东江门,Guangdong,消费电子精密件,Electronic Components,380.0,5350.0,38%,,未知,2024
116,21,罗宇皓,Luo Yuhao,37,先生,,,中国-上海,,,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,380.0,5350.0,9%,,未知,2024
116,2,沈彬,Shen Bin,未知,未知,中国-浙江-杭州,Jiangsu,江苏苏州,本科,中国地址大学,沙钢,Sha Steel,江苏苏州,Jiangsu,钢铁,Steel,380.0,5350.0,-1%,,未知,2024
116,-6,丁世家,Ding Shijia,60,先生,中国-福建-泉州,China-Fujian-Quanzhou,中国-福建-厦门,,,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,380.0,5350.0,-11%,,未知,2024
120,10,谢炳,Xie Bing,72,先生,中国-广东-汕头,China-Guangdong-Shantou,中国-香港,,,中生制药,Sino Biopharmaceutical,北京,Beijing,医药,Pharmaceuticals,375.0,5280.0,6%,,家族,2024
120,154,李小冬,Forrest Xiaodong Li,46,先生,,,新加坡,,,冬海集团,Sea,新加坡,Singapore,网络游戏、电商,"Online Games, E-Commerce",375.0,5280.0,92%,,未知,2024
122,-20,马建荣,Ma Jianrong,59,先生,中国-浙江,China-Zhejiang,中国-浙江-宁波,,,申洲针织,Shenzhou,浙江宁波,Zhejiang,纺织、服装,Textiles,370.0,5210.0,-17%,,家族,2024
